Name,Year,Rating
Spider-Man: Into the Spider-Verse,2018,5
The Shining,1980,5
A Clockwork Orange,1971,5
Eyes Wide Shut,1999,5
Full Metal Jacket,1987,5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,5
Twin Peaks,1989,5
Dune,1984,2
Clueless,1995,5
Spirited Away,2001,5
My Neighbor Totoro,1988,4
Kiki's Delivery Service,1989,4
Porco Rosso,1992,4.5
Nausicaä of the Valley of the Wind,1984,4.5
Dune: Part Two,2024,5
Little Women,2019,3.5
The Breakfast Club,1985,5
The Incredibles,2004,5
Superbad,2007,4
12 Angry Men,1957,5
Ratatouille,2007,5
Jennifer's Body,2009,4
How to Train Your Dragon,2025,5
The Virgin Suicides,1999,5
Dune,2021,5
Juno,2007,4.5
The Thing,1982,5
Halloween,1978,5
Escape from New York,1981,4
Bullet Train,2022,4
Avengers: Endgame,2019,4
Pirates of the Caribbean: The Curse of the Black Pearl,2003,5
Avengers: Infinity War,2018,4
Freaky Friday,2003,3.5
There Will Be Blood,2007,5
Almost Famous,2000,5
Lady Bird,2017,3.5
Lost in Translation,2003,4.5
The Martian,2015,4.5
Prometheus,2012,1
Black Hawk Down,2001,3.5
The Empire Strikes Back,1980,4.5
Ocean's Eleven,2001,5
Deadpool & Wolverine,2024,4
Spider-Man: No Way Home,2021,4
Star Wars: Episode I – The Phantom Menace,1999,1
Amélie,2001,4.5
Edward Scissorhands,1990,5
Joker,2019,4
Captain America: Civil War,2016,4
Psycho,1960,5
Children of Men,2006,5
Gravity,2013,4
The Addams Family,1991,5
Spider-Man 2,2004,5
Nightcrawler,2014,5
Avengers: Age of Ultron,2015,3
Star Wars: Episode II – Attack of the Clones,2002,3
Jojo Rabbit,2019,4.5
Captain America: The Winter Soldier,2014,4
Captain America: The First Avenger,2011,3.5
Legally Blonde,2001,5
The Craft,1996,4
Fargo,1996,5
Primal Fear,1996,4.5
Raiders of the Lost Ark,1981,5
Mad Max: Fury Road,2015,5
"O Brother, Where Art Thou?",2000,5
Pretty Woman,1990,3.5
Top Gun: Maverick,2022,4
Pirates of the Caribbean: Dead Man's Chest,2006,4
The Cabin in the Woods,2011,5
The Big Short,2015,5
Hacksaw Ridge,2016,3
Ferris Bueller's Day Off,1986,3.5
Palm Springs,2020,3.5
Rogue One: A Star Wars Story,2016,4
Clue,1985,4.5
Spider-Man: Far From Home,2019,4
John Wick,2014,4.5
Train to Busan,2016,5
Black Panther,2018,4
The Naked Gun 2½: The Smell of Fear,1991,4.5
Spider-Man 3,2007,3.5
Dunkirk,2017,4.5
Bridesmaids,2011,4
The Princess Diaries,2001,4
Anatomy of a Fall,2023,4.5
Iron Man 3,2013,3
Thor: Ragnarok,2017,4
Thor,2011,3
The Fall Guy,2024,4
Puss in Boots: The Last Wish,2022,4.5
Doctor Strange,2016,3.5
Novocaine,2025,3
The Proposal,2009,3
Black Widow,2021,4
Bram Stoker's Dracula,1992,4.5
Don't Worry Darling,2022,3
The Terminator,1984,4
Sound of Metal,2019,4
Lars and the Real Girl,2007,3.5
The Hobbit: An Unexpected Journey,2012,1.5
Inside Out,2015,5
Napoleon Dynamite,2004,5
In the Mood for Love,2000,4.5
The Master,2012,4
Starship Troopers,1997,4.5
The Maze Runner,2014,2
Insurgent,2015,2
Akira,1988,4.5
Divergent,2014,3
Zodiac,2007,4.5
Big Trouble in Little China,1986,4.5
Quantum of Solace,2008,3
Terminator Genisys,2015,2
Fantastic Four,2015,0.5
Jurassic World,2015,0.5
Batman v Superman: Dawn of Justice,2016,1.5
Star Wars: The Force Awakens,2015,4
Some Like It Hot,1959,4
The Shawshank Redemption,1994,4.5
Zoolander,2001,3.5
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,4.5
Everything Is Illuminated,2005,4
Men in Black,1997,3.5
Garden State,2004,3.5
Love Actually,2003,2.5
Get Him to the Greek,2010,4
Thank You for Smoking,2005,4.5
Contact,1997,3.5
"Girl, Interrupted",1999,4.5
Exit Through the Gift Shop,2010,4
The Lego Movie,2014,4.5
Under the Skin,2013,5
Bowling for Columbine,2002,4.5
Jesus Camp,2006,5
Lord of War,2005,4.5
Burn After Reading,2008,4
They Live,1988,4.5
Waking Life,2001,4
Her,2013,4.5
Black Swan,2010,5
Brazil,1985,5
Waltz with Bashir,2008,5
Matilda,1996,5
Elephant,2003,4
"Dude, Where's My Car?",2000,2.5
The Village,2004,3
From Dusk Till Dawn,1996,3.5
Ghostbusters,1984,4
The Fast and the Furious: Tokyo Drift,2006,2.5
City of Ember,2008,3.5
Idiocracy,2006,2.5
Gattaca,1997,4.5
Warm Bodies,2013,4
Pacific Rim,2013,4.5
Snowpiercer,2013,4
The Hunger Games,2012,4
Watchmen,2009,4.5
Ghost in the Shell 2: Innocence,2004,4
Ghost in the Shell,1995,4.5
Surrogates,2009,3.5
Hackers,1995,4.5
Equilibrium,2002,4
Minority Report,2002,4
The Cell,2000,3.5
A.I. Artificial Intelligence,2001,2.5
RoboCop,1987,4
Elysium,2013,3
The Fifth Element,1997,4.5
Looper,2012,4
TRON: Legacy,2010,2.5
RoboCop,2014,2.5
The Hunger Games: Catching Fire,2013,3.5
Avatar,2009,3.5
Dredd,2012,4.5
The Hunger Games: Mockingjay – Part 1,2014,4
In Bruges,2008,4.5
Phone Booth,2002,4
Saw,2004,4
West Side Story,1961,4
My Fair Lady,1964,4
The Sound of Music,1965,4
Titanic,1997,4
Shakespeare in Love,1998,2
Chicago,2002,3.5
Fear and Loathing in Las Vegas,1998,4
Clerks,1994,4
Willy Wonka & the Chocolate Factory,1971,4
Airplane!,1980,4
Office Space,1999,4
Monty Python's The Meaning of Life,1983,4.5
Shaun of the Dead,2004,4.5
Plan 9 from Outer Space,1957,2
The Rocky Horror Picture Show,1975,4
Rush Hour,1998,3.5
National Treasure: Book of Secrets,2007,3.5
National Treasure,2004,3.5
Live Free or Die Hard,2007,3
Die Hard With a Vengeance,1995,4
Die Hard 2,1990,3.5
Casino Royale,2006,4
Indiana Jones and the Kingdom of the Crystal Skull,2008,2.5
The Transporter,2002,3.5
Indiana Jones and the Temple of Doom,1984,4
The Rock,1996,4
Speed,1994,4
xXx,2002,3.5
Lucky Number Slevin,2006,5
True Lies,1994,3
Enemy of the State,1998,3.5
Taken,2008,4.5
Mad Max,1979,4.5
X-Men: Days of Future Past,2014,4.5
Jurassic Park,1993,5
The Truman Show,1998,4.5
"Monsters, Inc.",2001,4
Harry Potter and the Deathly Hallows: Part 2,2011,4
Groundhog Day,1993,4.5
The Imitation Game,2014,4
Jaws,1975,5
Guardians of the Galaxy,2014,5
Donnie Darko,2001,4
The Avengers,2012,4
The Wizard of Oz,1939,3.5
Sin City,2005,4.5
Million Dollar Baby,2004,4.5
The Princess Bride,1987,4.5
12 Years a Slave,2013,4
Life of Brian,1979,5
Kill Bill: Vol. 1,2003,4.5
Hotel Rwanda,2004,4.5
Finding Nemo,2003,4
The Sixth Sense,1999,4.5
The Maltese Falcon,1941,4.5
Into the Wild,2007,4.5
A Beautiful Mind,2001,4
V for Vendetta,2005,4
Howl's Moving Castle,2004,4
Blade Runner,1982,5
Good Will Hunting,1997,4.5
Die Hard,1988,4.5
Up,2009,4
Scarface,1983,4
Indiana Jones and the Last Crusade,1989,4.5
Toy Story,1995,4.5
2001: A Space Odyssey,1968,5
Snatch,2000,4.5
Monty Python and the Holy Grail,1975,5
Requiem for a Dream,2000,4.5
Taxi Driver,1976,4
Toy Story 3,2010,4
Return of the Jedi,1983,4
Princess Mononoke,1997,4.5
Aliens,1986,4.5
WALL·E,2008,5
American Beauty,1999,4.5
Django Unchained,2012,4.5
The Lion King,1994,4.5
Alien,1979,4.5
Back to the Future,1985,4
Gladiator,2000,4.5
Memento,2000,5
Terminator 2: Judgment Day,1991,5
The Green Mile,1999,4.5
Rear Window,1954,4.5
Saving Private Ryan,1998,4.5
American History X,1998,4.5
Casablanca,1942,4
Interstellar,2014,4.5
The Silence of the Lambs,1991,5
The Usual Suspects,1995,5
Se7en,1995,5
Star Wars,1977,4
The Matrix,1999,4.5
The Lord of the Rings: The Two Towers,2002,4
Inception,2010,4.5
The Lord of the Rings: The Return of the King,2003,4.5
The Lord of the Rings: The Fellowship of the Ring,2001,4
Fight Club,1999,4.5
"The Good, the Bad and the Ugly",1966,4.5
The Dark Knight,2008,4.5
Blue Mountain State: The Rise of Thadland,2016,4
A Parks and Recreation Special,2020,4.5
No Man's Land,2001,5
Adaptation.,2002,5
Sicario,2015,4
Evil Dead II,1987,5
Primer,2004,5
Dawn of the Dead,1978,4.5
Army of Darkness,1992,4
Fast Five,2011,3
Ran,1985,5
Downfall,2004,4.5
Dumb and Dumber,1994,3.5
Iron Man 2,2010,3
A Nightmare on Elm Street,1984,4.5
Holes,2003,3.5
One Battle After Another,2025,4.5
"Good Luck, Have Fun, Don't Die",2025,3.5
Vice,2018,4
Seven Psychopaths,2012,3.5
Galaxy Quest,1999,4
The Hitchhiker's Guide to the Galaxy,2005,3
Drive,2011,4.5
Bugonia,2025,4.5
Godzilla Minus One,2023,5
War of the Worlds,2005,2
Monkey Man,2024,4
Star Wars: Episode III – Revenge of the Sith,2005,3
The Life Aquatic with Steve Zissou,2004,4
Star Wars: The Rise of Skywalker,2019,0.5
The Banshees of Inisherin,2022,4
Triangle of Sadness,2022,3.5
The Mummy,1999,5
Sherlock Holmes,2009,4
Neon Genesis Evangelion,1995,5
Batman & Robin,1997,4
Blade Runner 2049,2017,4
The Mask of Zorro,1998,4
A Knight's Tale,2001,4
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,3
WandaVision,2021,3.5
Batman Forever,1995,4
Life of Pi,2012,4
Ex Machina,2015,4.5
Kick-Ass,2010,3
X-Men,2000,3.5
Batman Returns,1992,3.5
Batman,1989,3.5
Men in Black II,2002,4
Pain & Gain,2013,3
Mean Girls,2004,4.5
Spy Kids 3-D: Game Over,2003,4
X-Men: First Class,2011,2.5
Transformers,2007,2.5
The Disaster Artist,2017,3
Black Mirror: Bandersnatch,2018,3.5
Bring It On,2000,3.5
Spy Kids,2001,4
The Legend of Zorro,2005,4
X2,2003,2.5
Independence Day,1996,3.5
The Happening,2008,1.5
Kung Fury,2015,4.5
"Good Bye, Lenin!",2003,4
Wanted,2008,3
The Prince of Egypt,1998,4.5
Click,2006,0.5
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,4
My Big Fat Greek Wedding,2002,3.5
Home Alone,1990,4
Mr. & Mrs. Smith,2005,2
The Emperor's New Groove,2000,3.5
Bo Burnham: Inside,2021,5
Space Jam,1996,3.5
The Road to El Dorado,2000,2.5
Step Up,2006,3
Black Mirror: Shut Up and Dance,2016,4
Oppenheimer,2023,4
The Revenant,2015,4
Bodied,2017,3.5
Deathstalker,2025,3.5
Perfect Blue,1997,4
The Evil Dead,1981,4.5
Hook,1991,4
One Night Cherub,2025,5
Funny Games,2007,3.5
Pet Sematary,1989,4
House,1977,4
If I Had Legs I'd Kick You,2025,4
Midnight in Paris,2011,4
Cast Away,2000,3.5
Scream,1996,3.5
The Notebook,2004,3
Spotlight,2015,4
The Exorcist,1973,4
Ed Wood,1994,3
The Social Network,2010,4.5
The Iron Giant,1999,5
Harry Potter and the Philosopher's Stone,2001,4
Uncut Gems,2019,2
Step Brothers,2008,2.5
A Star Is Born,2018,4
Your Name.,2016,4.5
"Crouching Tiger, Hidden Dragon",2000,5
Blazing Saddles,1974,4
Corpse Bride,2005,3
Night of the Living Dead,1968,4
Kung Fu Hustle,2004,4
Heathers,1989,4.5
13 Going on 30,2004,2
Gremlins,1984,3.5
Cinderella,1950,3.5
A Silent Voice: The Movie,2016,4.5
Vertigo,1958,4
Who Framed Roger Rabbit,1988,5
Inside Llewyn Davis,2013,3
Grease,1978,4
True Romance,1993,4.5
Mary Poppins,1964,4
Alice in Wonderland,1951,4
The Fast and the Furious,2001,3.5
Beetlejuice,1988,4
Silver Linings Playbook,2012,3.5
Point Break,1991,4
Eighth Grade,2018,3.5
Fantasia,1940,4.5
Jumanji,1995,4
Booksmart,2019,3.5
Saturday Night Fever,1977,2.5
28 Days Later,2002,4
Bend It Like Beckham,2002,3.5
Hercules,1997,4.5
Bill & Ted's Excellent Adventure,1989,4
Sleeping Beauty,1959,3
The Butterfly Effect,2004,3
Pinocchio,1940,3
Peter Pan,1953,3
The Blair Witch Project,1999,4.5
21 Jump Street,2012,4
How to Lose a Guy in 10 Days,2003,2
Labyrinth,1986,4
Lilo & Stitch,2002,4.5
"Lock, Stock and Two Smoking Barrels",1998,4
Marriage Story,2019,4.5
American Gangster,2007,3
Dazed and Confused,1993,3.5
Dirty Dancing,1987,4
Interview with the Vampire,1994,4
The Hangover,2009,2.5
Breakfast at Tiffany's,1961,3.5
It's Such a Beautiful Day,2012,5
World of Tomorrow,2015,5
World of Tomorrow Episode Two: The Burden of Other People's Thoughts,2017,5
World of Tomorrow Episode Three: The Absent Destinations of David Prime,2020,5
First Blood,1982,4
Friday the 13th,1980,2
The Hidden Fortress,1958,4.5
Doctor Strange in the Multiverse of Madness,2022,3
Spider-Man,2002,4
Mamma Mia!,2008,3
Neon Genesis Evangelion: The End of Evangelion,1997,5
Wicked,2024,2
Superman,2025,3.5
The Parent Trap,1998,3
White Chicks,2004,2.5
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,4
Song of the Sea,2014,4.5
Wolfwalkers,2020,4
How to Train Your Dragon,2010,4
Shrek,2001,4
Shrek 2,2004,3
Klaus,2019,4.5
The Wind Rises,2013,4
Castle in the Sky,1986,4
Easy A,2010,3
Final Destination,2000,3
Aladdin,1992,4
The Princess and the Frog,2009,3.5
What We Do in the Shadows,2014,4
Venom: Let There Be Carnage,2021,2.5
Enemy,2013,4
50 First Dates,2004,2.5
Scooby-Doo,2002,3
Maleficent,2014,2.5
Swiss Army Man,2016,5
Snow White and the Seven Dwarfs,1937,3
Saw II,2005,2
Zombieland: Double Tap,2019,4
American Pie,1999,2.5
Pocahontas,1995,3
The Final Destination,2009,3.5
Bambi,1942,3.5
The Hunchback of Notre Dame,1996,3.5
Austin Powers: International Man of Mystery,1997,4.5
The Aristocats,1970,4
The Jungle Book,1967,4.5
Popstar: Never Stop Never Stopping,2016,3
Horrible Bosses,2011,3
Dumbo,1941,4
Robin Hood,1973,4.5
Wayne's World,1992,3.5
John Tucker Must Die,2006,1.5
Unfriended,2014,1.5
Spirit: Stallion of the Cimarron,2002,4
Austin Powers: The Spy Who Shagged Me,1999,4.5
Not Another Teen Movie,2001,4
Nacho Libre,2006,4
Tremors,1990,4
EuroTrip,2004,3
"South Park: Bigger, Longer & Uncut",1999,3
Tucker and Dale vs. Evil,2010,4
Austin Powers in Goldmember,2002,3
The Fox and the Hound,1981,4
"Legally Blonde 2: Red, White & Blonde",2003,3.5
The Room,2003,4
Paris Is Burning,1990,4
DAHMER - Monster: The Jeffrey Dahmer Story,2022,4
Bohemian Rhapsody,2018,0.5
"I, Tonya",2017,4
American Sniper,2014,3.5
Selma,2014,2
Dracula 2000,2000,1.5
Valkyrie,2008,3.5
The Walk,2015,3.5
The Running Man,1987,3.5
Priest,2011,1.5
Wake Up Dead Man,2025,4
Eternity,2025,2.5
Angel's Egg,1985,5
Frankenstein,2025,3.5
The Visitors,1993,3
I Love Boosters,2026,4
Normal,2025,3
Louis Theroux: Inside the Manosphere,2026,3
Buddy,2026,4
Brian,2026,3.5
Forbidden Fruits,2026,2.5
Thanks for Nothing,2025,4
Kill Me,2026,4
Wishful Thinking,2026,3.5
Ready or Not 2: Here I Come,2026,4
They Will Kill You,2026,4
Hundreds of Beavers,2022,4
Mars Express,2023,5
Predator,1987,3.5
Twelve Monkeys,1995,4
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,3.5
Project Hail Mary,2026,4
Marty Supreme,2025,4.5
Iron Lung,2026,2.5
Precious,2009,3.5
Solaris,1972,5
Disclosure Day,2026,1.5
Scary Movie,2026,0.5
Nirvanna the Band the Show the Movie,2025,5
The Mandalorian and Grogu,2026,1
This Is Spinal Tap,1984,4
The Island,2005,2
"I, Robot",2004,2.5
I Am Legend,2007,3
Dogtooth,2009,3
But I'm a Cheerleader,1999,4.5
Bāhubali: The Epic,2025,4
RRR,2022,5
Fuck My Son!,2025,2
Find Your Friends,2025,1
Road to Vendetta,2025,3
Battle Royale,2000,5
GoodFellas,1990,4.5
The Substance,2024,5
Tony,2026,4
Showgirls,1995,5
Tropic Thunder,2008,4
Mulan,1998,4
The Nightmare Before Christmas,1993,4
School of Rock,2003,4
Harry Potter and the Prisoner of Azkaban,2004,4
Tangled,2010,4
Thelma & Louise,1991,4
Death Becomes Her,1992,4.5
The Fantastic 4: First Steps,2025,3
Hot Fuzz,2007,5
Sorry to Bother You,2018,4
Apocalypto,2006,4
Vampire Hunter D: Bloodlust,2000,4.5
Twilight,2008,4
The Menu,2022,3.5
Mickey 17,2025,3.5
Stranger Than Fiction,2006,3.5
Frost/Nixon,2008,4
Nope,2022,4
Tarzan,1999,4
The King's Speech,2010,4
Whiplash,2014,4.5
Addams Family Values,1993,4.5
Deadpool,2016,4.5
